------------------------------------------------------------------------------------------------
                                                               |              sample            
                                                               |               0.00         0.00
  Saint-Louis                                                  |                243            4
                                                               |               0.03         0.01
  Scarcies                                                     |                  2            0
                                                               |               0.00         0.00
  Senegambia and offshore Atlantic, port unspecified           |                 61            0
                                                               |               0.01         0.00
  Settra Kru                                                   |                  2            0
                                                               |               0.00         0.00
  Sherbro                                                      |                 20            0
                                                               |               0.00         0.00
  Sierra Leone estuary                                         |                288            8
                                                               |               0.04         0.02
  Sierra Leone, port unspecified                               |                 10            1
                                                               |               0.00         0.00
  Sofala                                                       |                  1            0
                                                               |               0.00         0.00
  Southeast Africa and Indian Ocean islands, port unspecified  |                  9            1
                                                               |               0.00         0.00
  St Paul                                                      |                  1            0
                                                               |               0.00         0.00
  Sugary (Siekere)                                             |                  1            0
                                                               |               0.00         0.00
  Tabou                                                        |                  1            0
                                                               |               0.00         0.00
  West Central Africa and St Helena, port unspecified          |                720           24
                                                               |               0.09         0.06
  Whydah, Ouidah                                               |                213           16
                                                               |               0.03         0.04
  Windward + Ivory + Gold + Benin                              |                141            2
                                                               |               0.02         0.01
  Windward Coast (Nunez - Assini)                              |                 63            1
                                                               |               0.01         0.00
  Windward Coast, place unspecified                            |                352           16
                                                               |               0.04         0.04
Imputed principal place of captive purchase                    |              8,225          372
------------------------------------------------------------------------------------------------
